o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
51,110511,F,5746.27,1995-12-14,1-URGENT,Clerk#000000976,0,Standard order
52,106531,F,44818.81,1992-08-03,1-URGENT,Clerk#000000657,0,Check address
53,80078,F,22526.05,1995-09-01,2-HIGH,Clerk#000000694,0,Lorem ipsum
54,35921,F,35086.77,1992-03-24,4-NOT SPECIFIED,Clerk#000000262,0,Standard order
55,19458,F,12358.43,1996-07-05,4-NOT SPECIFIED,Clerk#000000789,0,Lorem ipsum
56,78954,O,47822.48,1994-03-10,2-HIGH,Clerk#000000188,0,Standard order
57,52996,F,25329.12,1994-06-15,4-NOT SPECIFIED,Clerk#000000941,0,Lorem ipsum
58,9693,P,49693.99,1992-10-28,3-MEDIUM,Clerk#000000586,0,Deliver ASAP
59,37066,F,26391.06,1993-10-30,4-NOT SPECIFIED,Clerk#000000200,0,Quick fox
60,99300,P,399.1,1993-09-06,2-HIGH,Clerk#000000880,0,Lazy dog
61,11535,O,37870.48,1992-02-20,2-HIGH,Clerk#000000449,0,Quick fox
62,40398,O,12631.13,1995-06-07,2-HIGH,Clerk#000000503,0,Check address
63,91388,F,44299.5,1993-10-22,1-URGENT,Clerk#000000187,0,Check address
64,1017,O,15153.46,1995-10-12,4-NOT SPECIFIED,Clerk#000000068,0,Lorem ipsum
65,55592,O,36495.56,1994-12-07,4-NOT SPECIFIED,Clerk#000000472,0,Lazy dog
66,23248,P,41375.91,1996-11-02,3-MEDIUM,Clerk#000000617,0,Deliver ASAP
67,24301,O,4965.59,1998-05-06,3-MEDIUM,Clerk#000000802,0,Standard order
68,82799,F,45660.86,1998-12-25,3-MEDIUM,Clerk#000000279,0,Lorem ipsum
69,9269,O,39140.24,1997-09-06,3-MEDIUM,Clerk#000000602,0,Lorem ipsum
70,86808,O,12297.73,1998-08-18,1-URGENT,Clerk#000000285,0,Quick fox
71,12186,P,19654.58,1998-08-22,3-MEDIUM,Clerk#000000416,0,Quick fox
72,139644,P,19359.51,1994-04-28,3-MEDIUM,Clerk#000000090,0,Deliver ASAP
73,38045,F,46166.85,1995-07-22,1-URGENT,Clerk#000000739,0,Deliver ASAP
74,51215,O,41971.16,1994-01-16,4-NOT SPECIFIED,Clerk#000000270,0,Lorem ipsum
75,114753,O,46253.12,1992-05-22,1-URGENT,Clerk#000000597,0,Check address
76,48985,P,21306.26,1998-09-15,2-HIGH,Clerk#000000404,0,Lorem ipsum
77,40775,O,33337.81,1996-07-01,3-MEDIUM,Clerk#000000503,0,Lazy dog
78,2569,P,36911.58,1997-05-29,1-URGENT,Clerk#000000443,0,Check address
79,120152,F,41324.37,1992-06-14,4-NOT SPECIFIED,Clerk#000000801,0,Deliver ASAP
80,133768,P,43505.81,1996-09-09,1-URGENT,Clerk#000000659,0,Quick fox
81,124376,F,44372.71,1998-01-15,2-HIGH,Clerk#000000123,0,Deliver ASAP
82,136331,O,6006.71,1996-04-06,4-NOT SPECIFIED,Clerk#000000130,0,Standard order
83,39505,O,22010.62,1993-01-27,4-NOT SPECIFIED,Clerk#000000213,0,Lazy dog
84,13987,P,27409.96,1995-03-21,2-HIGH,Clerk#000000386,0,Deliver ASAP
85,61859,F,1069.52,1997-02-26,2-HIGH,Clerk#000000681,0,Quick fox
86,129313,P,13035.4,1998-01-12,3-MEDIUM,Clerk#000000270,0,Lazy dog
87,12667,O,13114.17,1996-07-16,4-NOT SPECIFIED,Clerk#000000519,0,Check address
88,38661,P,17830.97,1993-10-28,1-URGENT,Clerk#000000776,0,Lazy dog
89,134634,O,44473.48,1996-01-30,3-MEDIUM,Clerk#000000248,0,Deliver ASAP
90,26855,P,27370.0,1997-10-04,4-NOT SPECIFIED,Clerk#000000046,0,Check address
91,64506,F,33688.27,1994-02-20,4-NOT SPECIFIED,Clerk#000000768,0,Deliver ASAP
92,104489,F,44196.82,1992-01-20,2-HIGH,Clerk#000000907,0,Standard order
93,22663,F,31796.23,1995-07-27,1-URGENT,Clerk#000000483,0,Lorem ipsum
94,8393,P,21962.99,1998-05-10,1-URGENT,Clerk#000000220,0,Deliver ASAP
95,30536,O,32609.77,1992-02-21,3-MEDIUM,Clerk#000000851,0,Check address
96,113570,P,33435.41,1996-03-25,1-URGENT,Clerk#000000801,0,Standard order
97,52257,O,24676.27,1992-12-13,2-HIGH,Clerk#000000911,0,Check address
98,89136,F,47885.56,1993-07-04,1-URGENT,Clerk#000000405,0,Lazy dog
99,127479,F,16866.91,1995-05-10,4-NOT SPECIFIED,Clerk#000000859,0,Quick fox
100,35223,P,44756.23,1998-07-25,4-NOT SPECIFIED,Clerk#000000388,0,Check address
101,77374,O,2344.24,1995-09-09,1-URGENT,Clerk#000000585,0,Check address
102,123685,O,34238.18,1993-06-09,4-NOT SPECIFIED,Clerk#000000325,0,Lazy dog
103,10966,O,38223.16,1997-06-29,1-URGENT,Clerk#000000754,0,Standard order
104,24539,P,5774.83,1992-10-04,3-MEDIUM,Clerk#000000790,0,Lorem ipsum
105,108067,O,45075.13,1995-11-24,4-NOT SPECIFIED,Clerk#000000775,0,Deliver ASAP
106,113253,P,35243.66,1996-10-11,3-MEDIUM,Clerk#000000281,0,Lazy dog
107,139183,F,8236.11,1997-09-10,1-URGENT,Clerk#000000824,0,Deliver ASAP
108,98807,F,36122.6,1994-03-28,3-MEDIUM,Clerk#000000738,0,Standard order
109,137983,F,39214.47,1996-05-29,2-HIGH,Clerk#000000346,0,Check address
110,110990,F,14107.11,1995-12-21,4-NOT SPECIFIED,Clerk#000000870,0,Quick fox
111,90983,P,36497.01,1994-07-11,2-HIGH,Clerk#000000387,0,Quick fox
112,121627,P,30137.52,1996-09-12,4-NOT SPECIFIED,Clerk#000000348,0,Check address
113,119177,P,34893.14,1998-01-07,2-HIGH,Clerk#000000886,0,Lazy dog
114,131279,F,39572.1,1994-06-26,4-NOT SPECIFIED,Clerk#000000865,0,Lorem ipsum
115,122410,F,46339.31,1994-03-06,3-MEDIUM,Clerk#000000033,0,Lazy dog
116,23420,O,16924.17,1993-03-06,1-URGENT,Clerk#000000693,0,Quick fox
117,50016,P,34107.9,1994-09-10,4-NOT SPECIFIED,Clerk#000000933,0,Quick fox
118,122097,O,48780.03,1994-11-07,3-MEDIUM,Clerk#000000086,0,Deliver ASAP
119,107060,F,6174.11,1993-05-30,1-URGENT,Clerk#000000657,0,Lorem ipsum
120,110688,O,33453.03,1994-01-18,3-MEDIUM,Clerk#000000242,0,Standard order
121,87940,F,1291.68,1996-11-23,4-NOT SPECIFIED,Clerk#000000532,0,Standard order
122,149214,O,9247.78,1994-01-05,3-MEDIUM,Clerk#000000604,0,Quick fox
123,105879,P,39226.98,1997-10-29,3-MEDIUM,Clerk#000000175,0,Lorem ipsum
124,62624,F,36836.8,1997-03-26,2-HIGH,Clerk#000000220,0,Standard order
125,75451,P,42159.16,1992-11-18,4-NOT SPECIFIED,Clerk#000000151,0,Check address
126,93427,P,25347.38,1993-06-01,4-NOT SPECIFIED,Clerk#000000743,0,Standard order
127,117846,O,44553.84,1993-10-31,3-MEDIUM,Clerk#000000733,0,Check address
128,43586,F,31207.39,1992-12-29,3-MEDIUM,Clerk#000000177,0,Quick fox
129,109226,O,4021.47,1998-10-13,4-NOT SPECIFIED,Clerk#000000709,0,Deliver ASAP
130,64045,P,44460.49,1994-10-17,4-NOT SPECIFIED,Clerk#000000934,0,Standard order
131,109557,F,19145.4,1998-07-23,3-MEDIUM,Clerk#000000182,0,Lorem ipsum
132,2694,O,9216.73,1996-08-29,1-URGENT,Clerk#000000908,0,Check address
133,95260,P,41252.65,1992-04-16,4-NOT SPECIFIED,Clerk#000000493,0,Lazy dog
134,25940,P,46130.2,1992-01-23,4-NOT SPECIFIED,Clerk#000000667,0,Check address
135,18048,O,26029.63,1994-07-24,2-HIGH,Clerk#000000956,0,Standard order
136,26106,P,31855.82,1992-06-05,1-URGENT,Clerk#000000302,0,Check address
137,75767,P,20914.76,1997-09-10,3-MEDIUM,Clerk#000000281,0,Deliver ASAP
138,146780,O,42272.19,1996-05-23,1-URGENT,Clerk#000000018,0,Lorem ipsum
139,44263,O,49175.2,1993-12-07,3-MEDIUM,Clerk#000000271,0,Lorem ipsum
140,125118,P,2548.89,1995-10-24,4-NOT SPECIFIED,Clerk#000000983,0,Standard order
141,23777,O,12901.64,1992-06-09,4-NOT SPECIFIED,Clerk#000000964,0,Check address
142,128377,P,43457.92,1992-09-14,1-URGENT,Clerk#000000513,0,Lorem ipsum
143,137849,F,33482.7,1992-06-07,3-MEDIUM,Clerk#000000344,0,Lazy dog
144,92788,P,25984.71,1997-04-21,1-URGENT,Clerk#000000583,0,Check address
145,127949,O,2187.11,1996-07-30,3-MEDIUM,Clerk#000000257,0,Lorem ipsum
146,55017,O,26677.33,1997-03-26,1-URGENT,Clerk#000000467,0,Check address
147,140547,P,13950.89,1994-01-25,4-NOT SPECIFIED,Clerk#000000136,0,Deliver ASAP
148,21960,P,4935.43,1996-01-07,4-NOT SPECIFIED,Clerk#000000816,0,Check address
149,136603,P,4462.51,1995-07-30,1-URGENT,Clerk#000000755,0,Deliver ASAP
150,119102,F,42917.11,1992-05-23,2-HIGH,Clerk#000000146,0,Check address
151,3749,O,34703.93,1993-01-25,1-URGENT,Clerk#000000211,0,Standard order
152,13546,F,49047.94,1998-03-31,3-MEDIUM,Clerk#000000743,0,Quick fox
153,127660,O,6213.61,1994-02-21,2-HIGH,Clerk#000000618,0,Quick fox
154,73531,F,29148.79,1998-03-05,3-MEDIUM,Clerk#000000911,0,Check address
155,93558,P,42431.26,1997-07-25,4-NOT SPECIFIED,Clerk#000000511,0,Standard order
156,61088,F,48832.75,1994-08-27,2-HIGH,Clerk#000000505,0,Lazy dog
157,68841,P,36720.69,1993-10-23,2-HIGH,Clerk#000000065,0,Lorem ipsum
158,118452,O,39370.93,1997-10-15,1-URGENT,Clerk#000000991,0,Deliver ASAP
159,51006,P,27979.32,1997-01-02,4-NOT SPECIFIED,Clerk#000000071,0,Lorem ipsum
160,39354,O,21650.31,1992-02-21,1-URGENT,Clerk#000000214,0,Deliver ASAP
161,52734,O,19302.8,1997-06-08,4-NOT SPECIFIED,Clerk#000000607,0,Standard order
162,65319,P,23531.02,1998-11-29,4-NOT SPECIFIED,Clerk#000000735,0,Standard order
163,67173,O,38636.72,1996-11-08,3-MEDIUM,Clerk#000000360,0,Check address
164,93265,O,30190.95,1995-12-19,3-MEDIUM,Clerk#000000550,0,Lazy dog
165,26737,O,12452.21,1993-09-13,1-URGENT,Clerk#000000387,0,Lorem ipsum
166,112860,F,36474.33,1993-09-12,1-URGENT,Clerk#000000026,0,Check address
167,112182,F,30321.67,1997-12-10,1-URGENT,Clerk#000000799,0,Deliver ASAP
168,131927,O,31402.36,1993-11-12,3-MEDIUM,Clerk#000000290,0,Standard order
169,90085,F,32418.98,1992-11-16,4-NOT SPECIFIED,Clerk#000000976,0,Lorem ipsum
170,7393,F,17554.11,1995-06-22,4-NOT SPECIFIED,Clerk#000000852,0,Standard order
171,55681,P,5506.5,1993-01-30,4-NOT SPECIFIED,Clerk#000000883,0,Quick fox
172,50860,P,33029.97,1996-11-03,4-NOT SPECIFIED,Clerk#000000814,0,Deliver ASAP
173,125658,O,30610.62,1994-11-03,2-HIGH,Clerk#000000471,0,Standard order
174,70468,P,32640.69,1993-03-24,2-HIGH,Clerk#000000035,0,Standard order
175,98507,O,40079.82,1992-07-24,4-NOT SPECIFIED,Clerk#000000739,0,Check address
176,109752,O,14352.67,1993-04-23,3-MEDIUM,Clerk#000000828,0,Check address
177,118907,P,43005.14,1998-02-04,1-URGENT,Clerk#000000925,0,Standard order
178,143761,P,41381.65,1996-05-23,2-HIGH,Clerk#000000614,0,Lazy dog
179,25343,P,45555.57,1996-08-31,3-MEDIUM,Clerk#000000007,0,Check address
180,106309,O,11501.59,1998-12-02,1-URGENT,Clerk#000000361,0,Standard order
181,106082,O,21452.49,1996-11-27,2-HIGH,Clerk#000000402,0,Lazy dog
182,89046,F,46714.12,1993-09-06,2-HIGH,Clerk#000000327,0,Deliver ASAP
183,34699,O,32684.61,1998-04-23,2-HIGH,Clerk#000000791,0,Lorem ipsum
184,110079,P,32288.76,1992-06-13,3-MEDIUM,Clerk#000000559,0,Lazy dog
185,80624,O,2368.39,1998-04-02,2-HIGH,Clerk#000000447,0,Quick fox
186,22672,P,4002.59,1997-02-04,3-MEDIUM,Clerk#000000207,0,Quick fox
187,93385,P,10345.17,1998-12-29,4-NOT SPECIFIED,Clerk#000000018,0,Lorem ipsum
188,86203,O,19455.91,1992-04-06,2-HIGH,Clerk#000000078,0,Lorem ipsum
189,51664,P,14127.71,1992-06-21,1-URGENT,Clerk#000000238,0,Lorem ipsum
190,15709,O,48724.57,1995-05-15,2-HIGH,Clerk#000000845,0,Quick fox
191,91907,P,13127.18,1993-09-09,4-NOT SPECIFIED,Clerk#000000290,0,Deliver ASAP
192,49812,O,31459.75,1992-01-08,1-URGENT,Clerk#000000399,0,Lazy dog
193,133884,F,28911.33,1993-08-14,2-HIGH,Clerk#000000247,0,Standard order
194,56251,O,35651.03,1994-12-29,2-HIGH,Clerk#000000543,0,Deliver ASAP
195,112548,P,5481.43,1996-11-15,3-MEDIUM,Clerk#000000752,0,Deliver ASAP
196,124250,P,40666.27,1998-11-21,4-NOT SPECIFIED,Clerk#000000508,0,Standard order
197,34755,O,2028.89,1996-04-11,1-URGENT,Clerk#000000433,0,Deliver ASAP
198,142484,P,20185.78,1995-08-04,4-NOT SPECIFIED,Clerk#000000743,0,Lazy dog
199,133984,F,23089.31,1998-07-05,4-NOT SPECIFIED,Clerk#000000455,0,Lorem ipsum
200,139753,O,4369.88,1998-09-21,2-HIGH,Clerk#000000678,0,Quick fox
201,84897,F,35267.54,1994-07-03,4-NOT SPECIFIED,Clerk#000000771,0,Check address
202,71296,F,47056.4,1998-03-08,2-HIGH,Clerk#000000766,0,Standard order
203,100690,O,25692.17,1996-08-03,4-NOT SPECIFIED,Clerk#000000878,0,Deliver ASAP
204,11112,F,10071.09,1995-04-28,2-HIGH,Clerk#000000573,0,Check address
205,37505,P,10488.36,1996-05-11,1-URGENT,Clerk#000000895,0,Check address
206,132875,F,5215.22,1993-07-09,4-NOT SPECIFIED,Clerk#000000864,0,Lorem ipsum
207,8156,P,45922.54,1998-10-13,3-MEDIUM,Clerk#000000161,0,Lazy dog
208,39385,F,41560.35,1996-03-11,4-NOT SPECIFIED,Clerk#000000151,0,Lorem ipsum
209,112562,O,45553.42,1997-02-06,3-MEDIUM,Clerk#000000150,0,Standard order
210,47255,P,42860.92,1998-11-23,1-URGENT,Clerk#000000522,0,Deliver ASAP
211,21919,F,30665.35,1998-06-01,3-MEDIUM,Clerk#000000777,0,Lazy dog
212,85982,P,46481.23,1992-11-13,1-URGENT,Clerk#000000536,0,Standard order
213,30307,O,37183.93,1994-10-09,4-NOT SPECIFIED,Clerk#000000688,0,Lorem ipsum
214,147719,P,45911.17,1992-12-01,2-HIGH,Clerk#000000096,0,Deliver ASAP
215,46844,P,20321.21,1994-05-28,4-NOT SPECIFIED,Clerk#000000590,0,Standard order
216,120976,P,44275.93,1996-04-21,3-MEDIUM,Clerk#000000737,0,Quick fox
217,96602,F,39553.58,1996-09-09,3-MEDIUM,Clerk#000000835,0,Lorem ipsum
218,107513,F,43889.13,1998-02-14,2-HIGH,Clerk#000000427,0,Lazy dog
219,147444,P,48286.9,1996-05-13,1-URGENT,Clerk#000000868,0,Deliver ASAP
220,111473,O,33070.6,1997-07-11,2-HIGH,Clerk#000000149,0,Lorem ipsum
221,133122,P,15935.0,1993-12-25,1-URGENT,Clerk#000000188,0,Quick fox
222,103728,P,1230.26,1995-12-01,3-MEDIUM,Clerk#000000353,0,Lorem ipsum
223,112894,F,34426.56,1998-03-28,1-URGENT,Clerk#000000570,0,Lorem ipsum
224,20933,P,36599.63,1998-09-06,2-HIGH,Clerk#000000399,0,Check address
225,117797,P,34218.96,1995-10-08,2-HIGH,Clerk#000000547,0,Lazy dog
226,29856,O,33162.21,1996-01-20,1-URGENT,Clerk#000000358,0,Deliver ASAP
227,7401,O,3228.33,1996-07-04,2-HIGH,Clerk#000000258,0,Standard order
228,117859,P,42022.41,1997-10-01,4-NOT SPECIFIED,Clerk#000000987,0,Standard order
229,15152,P,48733.06,1992-01-03,1-URGENT,Clerk#000000662,0,Lazy dog
230,66691,O,24408.38,1992-10-29,1-URGENT,Clerk#000000647,0,Lorem ipsum
231,4500,O,18073.4,1992-06-16,1-URGENT,Clerk#000000870,0,Quick fox
232,6296,P,39873.35,1992-04-01,1-URGENT,Clerk#000000251,0,Check address
233,120886,P,20656.2,1992-09-01,3-MEDIUM,Clerk#000000252,0,Standard order
234,126072,P,2500.75,1994-01-13,4-NOT SPECIFIED,Clerk#000000556,0,Lazy dog
235,59041,F,25319.43,1995-04-28,2-HIGH,Clerk#000000316,0,Standard order
236,12184,O,28444.36,1998-09-07,1-URGENT,Clerk#000000245,0,Lazy dog
237,143947,O,49611.85,1995-02-11,1-URGENT,Clerk#000000607,0,Lazy dog
238,116337,F,22171.87,1998-12-26,3-MEDIUM,Clerk#000000600,0,Lazy dog
239,32712,O,18977.88,1993-03-30,2-HIGH,Clerk#000000557,0,Deliver ASAP
240,5540,F,41743.35,1996-11-29,3-MEDIUM,Clerk#000000363,0,Standard order
241,126064,O,239.59,1994-05-24,4-NOT SPECIFIED,Clerk#000000496,0,Lorem ipsum
242,133630,P,23915.98,1994-08-22,4-NOT SPECIFIED,Clerk#000000352,0,Lazy dog
243,38361,F,32757.57,1996-06-13,2-HIGH,Clerk#000000314,0,Lorem ipsum
244,133273,F,39725.22,1998-07-05,3-MEDIUM,Clerk#000000519,0,Lorem ipsum
245,21358,P,15021.82,1995-07-08,4-NOT SPECIFIED,Clerk#000000966,0,Check address
246,119122,F,21245.67,1993-08-30,4-NOT SPECIFIED,Clerk#000000035,0,Lorem ipsum
247,77506,O,2414.82,1998-03-15,4-NOT SPECIFIED,Clerk#000000591,0,Check address
248,2870,F,11207.41,1994-11-01,4-NOT SPECIFIED,Clerk#000000887,0,Standard order
249,50109,P,42413.13,1993-03-07,1-URGENT,Clerk#000000621,0,Standard order
250,112297,F,34504.36,1997-12-28,1-URGENT,Clerk#000000777,0,Check address
251,94180,O,38799.53,1996-12-25,2-HIGH,Clerk#000000183,0,Quick fox
252,90273,P,8103.12,1998-10-01,2-HIGH,Clerk#000000214,0,Deliver ASAP
253,38468,F,10678.42,1998-07-28,1-URGENT,Clerk#000000646,0,Quick fox
254,23329,F,19073.01,1996-02-01,3-MEDIUM,Clerk#000000012,0,Deliver ASAP
255,91413,P,43293.54,1992-11-09,1-URGENT,Clerk#000000383,0,Standard order
256,135060,P,32928.0,1998-10-16,1-URGENT,Clerk#000000498,0,Lazy dog
257,58872,O,16309.3,1997-02-10,2-HIGH,Clerk#000000618,0,Standard order
258,128392,F,1121.95,1993-10-05,4-NOT SPECIFIED,Clerk#000000429,0,Standard order
259,86417,P,35926.86,1997-01-02,3-MEDIUM,Clerk#000000075,0,Lazy dog
260,70272,O,3654.91,1992-02-17,1-URGENT,Clerk#000000968,0,Quick fox
261,44065,P,7249.79,1993-02-11,4-NOT SPECIFIED,Clerk#000000083,0,Lazy dog
262,107451,F,42247.95,1993-11-22,2-HIGH,Clerk#000000931,0,Deliver ASAP
263,19831,F,3746.92,1996-09-12,2-HIGH,Clerk#000000149,0,Deliver ASAP
264,148502,O,12975.24,1997-06-05,3-MEDIUM,Clerk#000000383,0,Lazy dog
265,137966,O,6476.73,1998-08-09,1-URGENT,Clerk#000000385,0,Lorem ipsum
266,116382,P,20815.26,1995-08-19,1-URGENT,Clerk#000000387,0,Lazy dog
267,47334,F,29345.82,1997-09-28,3-MEDIUM,Clerk#000000499,0,Quick fox
268,134509,F,10929.62,1997-07-19,1-URGENT,Clerk#000000067,0,Quick fox
269,76214,F,38623.61,1994-04-02,2-HIGH,Clerk#000000710,0,Quick fox
270,136968,O,3758.0,1998-07-03,3-MEDIUM,Clerk#000000598,0,Deliver ASAP
271,30747,O,34016.46,1997-06-18,1-URGENT,Clerk#000000737,0,Check address
272,49378,F,28122.84,1993-10-22,3-MEDIUM,Clerk#000000947,0,Quick fox
273,54046,F,11640.96,1992-01-13,1-URGENT,Clerk#000000310,0,Lazy dog
274,97889,P,5188.43,1995-06-20,4-NOT SPECIFIED,Clerk#000000074,0,Standard order
275,107456,O,46765.9,1994-06-17,4-NOT SPECIFIED,Clerk#000000214,0,Quick fox
276,136673,P,48878.98,1992-11-11,2-HIGH,Clerk#000000119,0,Lorem ipsum
277,93180,O,27380.9,1995-01-23,2-HIGH,Clerk#000000513,0,Quick fox
278,45715,P,16416.55,1997-01-03,2-HIGH,Clerk#000000551,0,Lorem ipsum
279,102947,P,9147.91,1997-07-13,3-MEDIUM,Clerk#000000888,0,Lorem ipsum
280,109617,P,12477.05,1994-10-19,1-URGENT,Clerk#000000619,0,Check address
281,105984,F,42389.02,1992-06-05,2-HIGH,Clerk#000000723,0,Standard order
282,124124,P,7718.43,1996-05-04,3-MEDIUM,Clerk#000000401,0,Check address
283,149662,O,21943.29,1992-12-28,4-NOT SPECIFIED,Clerk#000000835,0,Quick fox
284,43485,P,47716.29,1996-08-03,1-URGENT,Clerk#000000489,0,Deliver ASAP
285,82990,F,49608.26,1998-03-02,3-MEDIUM,Clerk#000000766,0,Standard order
286,36213,F,14514.84,1998-07-03,3-MEDIUM,Clerk#000000785,0,Lorem ipsum
287,43526,F,24199.74,1992-09-13,3-MEDIUM,Clerk#000000176,0,Standard order
288,63209,F,7106.03,1997-05-23,4-NOT SPECIFIED,Clerk#000000578,0,Standard order
289,33829,P,15191.08,1993-01-04,2-HIGH,Clerk#000000034,0,Check address
290,149784,P,3616.97,1998-04-07,4-NOT SPECIFIED,Clerk#000000902,0,Lazy dog
291,3421,O,34795.57,1995-11-28,4-NOT SPECIFIED,Clerk#000000122,0,Lorem ipsum
292,96753,O,2160.98,1994-03-30,3-MEDIUM,Clerk#000000993,0,Lorem ipsum
293,131374,P,5672.38,1997-05-29,3-MEDIUM,Clerk#000000159,0,Lorem ipsum
294,115295,O,29310.75,1992-10-03,3-MEDIUM,Clerk#000000467,0,Lazy dog
295,124020,O,26737.93,1996-07-29,3-MEDIUM,Clerk#000000052,0,Deliver ASAP
296,65727,O,38509.52,1996-04-06,3-MEDIUM,Clerk#000000169,0,Standard order
297,141565,O,5578.92,1996-04-28,3-MEDIUM,Clerk#000000410,0,Lorem ipsum
298,115669,F,24585.04,1996-10-12,4-NOT SPECIFIED,Clerk#000000069,0,Lorem ipsum
299,6103,O,43590.73,1993-03-16,3-MEDIUM,Clerk#000000014,0,Lorem ipsum
300,118016,P,25189.91,1998-08-04,3-MEDIUM,Clerk#000000402,0,Lorem ipsum
301,26642,P,49378.16,1994-03-12,3-MEDIUM,Clerk#000000440,0,Quick fox
302,103747,O,33333.09,1995-02-21,1-URGENT,Clerk#000000090,0,Lazy dog
